"","periodo","periodo_fecha","precios"
"160","2022-1","1/01/2022",6.73e+08
"161","2022-1","1/01/2022",559600000
"162","2022-1","1/01/2022",9.59e+08
"163","2022-1","1/01/2022",1562496733
"164","2022-1","1/01/2022",906560000
"165","2022-1","1/01/2022",825340000
"166","2022-1","1/01/2022",278519333
"167","2022-1","1/01/2022",308039139
"168","2022-1","1/01/2022",230306000
"169","2022-1","1/01/2022",403337592
"170","2022-1","1/01/2022",3.83e+08
"171","2022-1","1/01/2022",4.5e+08
"172","2022-1","1/01/2022",1001841250
"173","2022-1","1/01/2022",1602915000
"174","2022-1","1/01/2022",331850000
"175","2022-1","1/01/2022",96060000
"176","2022-1","1/01/2022",315915000
"177","2022-1","1/01/2022",4.23e+08
"178","2022-1","1/01/2022",5.5e+08
"179","2022-1","1/01/2022",157400000
"180","2022-1","1/01/2022",221994000
"181","2022-1","1/01/2022",416910823
"182","2022-1","1/01/2022",393359470
"183","2022-1","1/01/2022",948066000
"184","2022-1","1/01/2022",1628251484
"185","2022-1","1/01/2022",1101528000
"186","2022-1","1/01/2022",1914700000
"187","2022-1","1/01/2022",273800000
"188","2022-1","1/01/2022",1.16e+08
"189","2022-1","1/01/2022",156002000
"190","2022-1","1/01/2022",2.1e+08
"191","2022-1","1/01/2022",2215181601
"192","2022-1","1/01/2022",1198701593
"193","2022-1","1/01/2022",838002198
"194","2022-1","1/01/2022",299177140
"195","2022-1","1/01/2022",1799600000
"196","2022-1","1/01/2022",1011450000
"197","2022-1","1/01/2022",682917672
"198","2022-1","1/01/2022",595507500
"199","2022-1","1/01/2022",598620000
"200","2022-1","1/01/2022",455988000
"201","2022-1","1/01/2022",521432062
"202","2022-1","1/01/2022",1.887e+09
"203","2022-1","1/01/2022",1.06e+08
"204","2022-1","1/01/2022",4.36e+08
"205","2022-1","1/01/2022",440200000
"206","2022-1","1/01/2022",1.13e+08
"207","2022-1","1/01/2022",76125324
"208","2022-1","1/01/2022",343600000
"209","2022-1","1/01/2022",264865000
"210","2022-1","1/01/2022",142860400
"211","2022-1","1/01/2022",562303000
"212","2022-1","1/01/2022",485680000
"213","2022-1","1/01/2022",1.6e+08
"214","2022-1","1/01/2022",152500000
"215","2022-1","1/01/2022",301370000
"216","2022-1","1/01/2022",329080000
"217","2022-1","1/01/2022",1.79e+08
"218","2022-1","1/01/2022",374374100
"219","2022-1","1/01/2022",7.4e+07
"220","2022-1","1/01/2022",254376000
"221","2022-1","1/01/2022",1133670000
"222","2022-1","1/01/2022",848314500
"223","2022-1","1/01/2022",165049500
"224","2022-1","1/01/2022",152160400
"225","2022-1","1/01/2022",125388358
"226","2022-1","1/01/2022",125613600
"227","2022-1","1/01/2022",693200000
"228","2022-1","1/01/2022",267554327
"229","2022-1","1/01/2022",6.88e+08
"230","2022-1","1/01/2022",160800000
"231","2022-1","1/01/2022",9.34e+08
"232","2022-1","1/01/2022",1645845000
"233","2022-1","1/01/2022",3.22e+08
"234","2022-1","1/01/2022",4.15e+08
"235","2022-1","1/01/2022",385900000
"236","2022-1","1/01/2022",184481000
"237","2022-1","1/01/2022",229208000
"238","2022-1","1/01/2022",577389331
"239","2022-1","1/01/2022",1291322000
"240","2022-1","1/01/2022",672343388
"241","2022-1","1/01/2022",793697705
"242","2022-1","1/01/2022",588549800
"243","2022-1","1/01/2022",1035019000
"244","2022-1","1/01/2022",155464400
"245","2022-1","1/01/2022",586901000
"246","2022-1","1/01/2022",276854000
"247","2022-1","1/01/2022",554632000
"248","2022-1","1/01/2022",679887500
"249","2022-1","1/01/2022",542460000
"250","2022-1","1/01/2022",534063698
"251","2022-1","1/01/2022",441815527
"252","2022-1","1/01/2022",478554026
"253","2022-1","1/01/2022",1.02e+08
"254","2022-1","1/01/2022",2.3e+08
"255","2022-1","1/01/2022",717466849
"256","2022-1","1/01/2022",855472500
"257","2022-1","1/01/2022",1.38e+08
"258","2022-1","1/01/2022",472500000
"259","2022-1","1/01/2022",110886724
"260","2022-1","1/01/2022",378664035
"261","2022-1","1/01/2022",4.4e+08
"262","2022-1","1/01/2022",585100000
"263","2022-1","1/01/2022",5.75e+08
"264","2022-1","1/01/2022",312550000
"265","2022-1","1/01/2022",340680000
"266","2022-1","1/01/2022",461634381
"267","2022-1","1/01/2022",3.49e+08
"268","2022-1","1/01/2022",4.89e+08
"269","2022-1","1/01/2022",243123000
"270","2022-1","1/01/2022",236200000
"271","2022-1","1/01/2022",334200000
"272","2022-1","1/01/2022",1254196553
"273","2022-1","1/01/2022",154248000
"274","2022-1","1/01/2022",1160297000
"275","2022-1","1/01/2022",695593800
"276","2022-1","1/01/2022",523154000
"277","2022-1","1/01/2022",336021000
"278","2022-1","1/01/2022",538438500
"279","2022-1","1/01/2022",551875000
"280","2022-1","1/01/2022",826567100
"281","2022-1","1/01/2022",812624318
"282","2022-1","1/01/2022",6.5e+07
"283","2022-1","1/01/2022",605808444
"284","2022-1","1/01/2022",1816500000
"285","2022-1","1/01/2022",88145112
"286","2022-1","1/01/2022",713483336
"287","2022-1","1/01/2022",991648728
"288","2022-1","1/01/2022",432613500
"289","2022-1","1/01/2022",257548400
"290","2022-1","1/01/2022",712247480
"291","2022-1","1/01/2022",539985500
"292","2022-1","1/01/2022",5.04e+08
"293","2022-1","1/01/2022",113375000
"294","2022-1","1/01/2022",3.1e+08
"295","2022-1","1/01/2022",633542500
"296","2022-1","1/01/2022",1.55e+08
"297","2022-1","1/01/2022",1.83e+08
"298","2022-1","1/01/2022",412540000
"299","2022-1","1/01/2022",394168000
"300","2022-1","1/01/2022",229500000
"301","2022-1","1/01/2022",241953000
"302","2022-1","1/01/2022",205135000
"303","2022-1","1/01/2022",314284000
"304","2022-1","1/01/2022",1799840000
"305","2022-1","1/01/2022",6e+08
"306","2022-1","1/01/2022",344687300
"307","2022-1","1/01/2022",326617766
"308","2022-1","1/01/2022",351497369
"309","2022-1","1/01/2022",247416900
"310","2022-1","1/01/2022",250499368
"311","2022-1","1/01/2022",1720715000
"312","2022-1","1/01/2022",891340000
"313","2022-1","1/01/2022",175241000
"314","2022-1","1/01/2022",233270000
"315","2022-1","1/01/2022",277052000
"316","2022-1","1/01/2022",238491179
"317","2022-1","1/01/2022",254921959
"318","2022-1","1/01/2022",1.74e+08
"319","2022-1","1/01/2022",1.69e+08
"320","2022-1","1/01/2022",73183000
"321","2022-1","1/01/2022",1048558393
"322","2022-1","1/01/2022",736137132
"323","2022-1","1/01/2022",400993197
"324","2022-1","1/01/2022",308700000
"325","2022-1","1/01/2022",811535946
"326","2022-1","1/01/2022",1378950000
"327","2022-1","1/01/2022",1296080000
"328","2022-1","1/01/2022",1126100000
"329","2022-1","1/01/2022",341588000
"330","2022-1","1/01/2022",424793500
"331","2022-1","1/01/2022",66818364
"332","2022-1","1/01/2022",3.7e+08
"333","2022-1","1/01/2022",460490001
"334","2022-1","1/01/2022",742570600
"335","2022-1","1/01/2022",416148000
"336","2022-1","1/01/2022",1210971682
"337","2022-1","1/01/2022",1188907049
"338","2022-1","1/01/2022",656160968
"339","2022-1","1/01/2022",509868828
"340","2022-1","1/01/2022",435653081
"341","2022-1","1/01/2022",413321295
"342","2022-1","1/01/2022",634700000
"343","2022-1","1/01/2022",587084046
"344","2022-1","1/01/2022",570459000
"345","2022-1","1/01/2022",1.287e+09
"346","2022-1","1/01/2022",547588184
"347","2022-1","1/01/2022",346267636
"348","2022-1","1/01/2022",519200000
"349","2022-1","1/01/2022",4.2e+08
"350","2022-1","1/01/2022",644684556
"351","2022-1","1/01/2022",4.51e+08
"352","2022-1","1/01/2022",400120000
"353","2022-1","1/01/2022",482863200
"354","2022-1","1/01/2022",671121000
"355","2022-1","1/01/2022",2.3e+08
"356","2022-1","1/01/2022",2.4e+08
"357","2022-1","1/01/2022",112056000
"358","2022-1","1/01/2022",148837500
"359","2022-1","1/01/2022",9.9e+07
"360","2022-1","1/01/2022",237140000
"361","2022-1","1/01/2022",140415700
"362","2022-1","1/01/2022",212200000
"363","2022-1","1/01/2022",501868000
"364","2022-1","1/01/2022",182299000
"365","2022-1","1/01/2022",410410000
"366","2022-1","1/01/2022",1849455000
"367","2022-1","1/01/2022",306070000
"368","2022-1","1/01/2022",276950000
"369","2022-1","1/01/2022",601118000
"370","2022-1","1/01/2022",1.7e+08
"371","2022-1","1/01/2022",321252357
"372","2022-1","1/01/2022",386401000
"373","2022-1","1/01/2022",1.35e+08
"374","2022-1","1/01/2022",112512000
"375","2022-1","1/01/2022",137024000
